2025-08-26 13:19:47 | INFO | avanqard | Logging initialized. RUN_DIR=d:\APP
2025-08-26 13:19:48 | INFO | avanqard | Təmizləndi: 1 __pycache__ qovluğu
2025-08-26 13:19:49 | INFO | avanqard | WINDOW OPEN: AnaMenu
2025-08-26 13:20:03 | INFO | avanqard | Desktop shortcut created: C:\Users\User\Desktop\Avanqard ERP.lnk
2025-08-26 13:20:03 | INFO | avanqard | First-run completed.
2025-08-26 13:20:12 | INFO | avanqard | CLICK: 🧾 FAKTURA VER
2025-08-26 13:20:12 | INFO | avanqard | CALL AnaMenu._spawn
2025-08-26 13:20:12 | INFO | avanqard | RELAUNCH (self) args=[]
2025-08-26 13:20:12 | INFO | avanqard | OK   AnaMenu._spawn
2025-08-26 13:20:25 | INFO | avanqard | CLICK: 🧾 FAKTURA VER
2025-08-26 13:20:25 | INFO | avanqard | CALL AnaMenu._spawn
2025-08-26 13:20:25 | INFO | avanqard | RELAUNCH (self) args=[]
2025-08-26 13:20:25 | INFO | avanqard | OK   AnaMenu._spawn
2025-08-26 13:20:26 | INFO | avanqard | CLICK: 📦 ANBAR
2025-08-26 13:20:27 | INFO | avanqard | CALL AnaMenu._spawn
2025-08-26 13:20:27 | INFO | avanqard | RELAUNCH (self) args=[]
2025-08-26 13:20:27 | INFO | avanqard | OK   AnaMenu._spawn
2025-08-26 13:20:28 | INFO | avanqard | CLICK: 📑 FAKTURALAR
2025-08-26 13:20:28 | INFO | avanqard | CALL AnaMenu._spawn
2025-08-26 13:20:28 | INFO | avanqard | RELAUNCH (self) args=[]
2025-08-26 13:20:28 | INFO | avanqard | OK   AnaMenu._spawn
2025-08-26 13:20:30 | INFO | avanqard | CLICK: 🏷️ MƏHSULLAR
2025-08-26 13:20:30 | INFO | avanqard | CALL AnaMenu._spawn
2025-08-26 13:20:30 | INFO | avanqard | RELAUNCH (self) args=[]
2025-08-26 13:20:30 | INFO | avanqard | OK   AnaMenu._spawn
2025-08-26 13:20:31 | INFO | avanqard | CLICK: 📊 HESABATLAR
2025-08-26 13:20:31 | INFO | avanqard | CALL AnaMenu._spawn
2025-08-26 13:20:31 | INFO | avanqard | RELAUNCH (self) args=[]
2025-08-26 13:20:31 | INFO | avanqard | OK   AnaMenu._spawn
2025-08-26 13:20:32 | INFO | avanqard | CALL AnaMenu._spawn
2025-08-26 13:20:32 | INFO | avanqard | RELAUNCH (self) args=[]
2025-08-26 13:20:32 | INFO | avanqard | OK   AnaMenu._spawn
2025-08-26 13:20:37 | INFO | avanqard | WINDOW CLOSE: AnaMenu (requested)
2025-08-26 13:20:40 | INFO | avanqard | WINDOW CLOSED: AnaMenu
2025-08-26 13:33:11 | INFO | avanqard | WINDOW CLOSE: AnaMenu (requested)
2025-08-26 13:33:19 | INFO | avanqard | Logging initialized. RUN_DIR=d:\APP
2025-08-26 13:33:19 | INFO | avanqard | Təmizləndi: 1 __pycache__ qovluğu
