user_id,abone,satis,churn,timestamp,event_name,session_id,device,page_url,channel,location
user_363,False,False,True,2025-02-26 13:26:05,search,session_8253,desktop,product,referral,Izmir
user_499,False,False,True,2025-02-26 13:40:25,checkout_start,session_7010,desktop,checkout,organic,Adana
user_216,False,True,True,2025-02-26 13:54:21,payment,session_4263,desktop,payment,organic,Ankara
user_89,True,False,True,2025-02-26 14:20:56,payment,session_9673,mobile,cart,email,Istanbul
user_394,False,True,True,2025-02-26 14:28:49,payment,session_7818,desktop,register,referral,Ankara
user_163,True,False,False,2025-02-26 14:32:49,add_to_cart,session_5208,tablet,register,social,Adana
user_374,True,False,True,2025-02-26 14:36:49,search,session_4806,desktop,checkout,organic,Gaziantep
user_464,True,True,True,2025-02-26 14:39:44,login,session_9760,mobile,product,organic,Bursa
user_411,False,False,False,2025-02-26 14:59:48,add_to_cart,session_6041,desktop,cart,organic,Adana
user_265,True,True,False,2025-02-26 15:30:40,register,session_4558,desktop,cart,paid,Bursa
user_262,False,True,True,2025-02-26 15:44:59,search,session_3731,tablet,checkout,organic,Konya
user_308,False,True,False,2025-02-26 15:46:16,payment,session_7552,desktop,product,direct,Ankara
user_247,False,True,False,2025-02-26 16:02:30,payment,session_9047,tablet,payment,paid,Bursa
user_376,True,False,False,2025-02-26 16:51:07,payment,session_7506,desktop,confirmation,social,Ankara
user_274,True,False,True,2025-02-26 16:52:11,add_to_cart,session_8161,tablet,register,social,Ankara
user_492,False,True,False,2025-02-26 16:55:27,page_view,session_1764,tablet,payment,social,Gaziantep
user_344,True,True,True,2025-02-26 16:56:18,login,session_4109,desktop,register,direct,Konya
user_404,True,True,False,2025-02-26 17:24:05,search,session_6810,tablet,payment,email,Bursa
user_289,False,True,True,2025-02-26 17:25:53,checkout_start,session_5799,desktop,confirmation,paid,Konya
user_174,True,True,True,2025-02-26 17:26:31,add_to_cart,session_2208,desktop,product,organic,Ankara
user_398,False,True,False,2025-02-26 17:27:37,search,session_4650,desktop,home,direct,Gaziantep
user_58,False,False,False,2025-02-26 17:52:43,page_view,session_8068,tablet,home,email,Izmir
user_489,True,False,False,2025-02-26 18:16:26,search,session_9469,mobile,confirmation,social,Adana
user_473,True,True,False,2025-02-26 18:25:20,add_to_cart,session_3480,mobile,checkout,social,Konya
user_148,True,True,True,2025-02-26 18:50:40,login,session_7648,desktop,checkout,referral,Ankara
user_188,False,False,True,2025-02-26 18:53:53,login,session_4876,desktop,cart,organic,Bursa
user_202,False,False,False,2025-02-26 19:09:15,login,session_9398,tablet,cart,organic,Istanbul
user_378,True,False,True,2025-02-26 19:18:32,page_view,session_6327,tablet,cart,email,Antalya
user_350,False,False,True,2025-02-26 19:23:41,checkout_start,session_6814,desktop,product,organic,Konya
user_276,True,True,False,2025-02-26 19:27:37,search,session_5722,tablet,checkout,social,Istanbul
user_108,False,False,False,2025-02-26 19:31:38,search,session_3441,desktop,payment,organic,Istanbul
user_118,True,True,False,2025-02-26 19:57:17,page_view,session_6882,mobile,register,paid,Adana
